brand,processor,ram_gb,storage,gpu,screen_size_inch,resolution,battery_life_hours,weight_kg,operating_system,price_usd
Apple,AMD Ryzen 3,64,512GBSSD,Nvidia GTX 1650,17.3,2560x1440,8.9,1.42,Freedos,3997.07
Razer,AMD Ryzen 7,4,1TBSSD,Nvidia RTX 3080,14.0,1366x768,9.4,2.57,Linux,1355.78
Asus,Intel i5,32,2TBSSD,Nvidia RTX 3060,13.3,3840x2160,8.5,1.74,Freedos,2673.07
Lenovo,Intel i5,4,256GBSSD,Nvidia RTX 3080,13.3,1366x768,10.5,3.1,Windows,751.17
Razer,Intel i3,4,256GBSSD,AMD Radeon RX 6600,16.0,3840x2160,5.7,3.38,Linux,2059.83
Acer,AMD Ryzen 3,64,2TBSSD,Nvidia RTX 3060,14.0,1366x768,7.1,1.85,Linux,1676.64
Dell,Intel i5,8,1TBSSD,Nvidia RTX 2060,15.6,2560x1440,9.1,1.98,Windows,1449.05
Microsoft,AMD Ryzen 9,8,1TBSSD,Nvidia RTX 3080,17.3,2560x1440,9.8,1.26,Linux,2193.55
Apple,Intel i5,64,256GBSSD,Nvidia RTX 2060,15.6,3840x2160,11.5,1.48,Linux,6409.03
HP,AMD Ryzen 5,4,1TBSSD,AMD Radeon RX 6800,14.0,3840x2160,7.5,2.19,Freedos,1556.72
Razer,Intel i9,8,256GBSSD,Nvidia GTX 1650,16.0,1366x768,6.4,2.53,Windows,2044.38
Razer,Intel i5,32,1TBHDD,AMD Radeon RX 6800,16.0,1920x1080,8.3,1.21,Windows,2032.69
Lenovo,Intel i5,4,256GBSSD,Nvidia RTX 2060,16.0,3840x2160,9.3,2.97,Windows,1770.05
Acer,AMD Ryzen 3,16,512GBSSD,Integrated,15.6,1920x1080,10.9,2.02,Windows,629.96
Samsung,Intel i3,32,256GBSSD,Nvidia RTX 3060,15.6,2560x1440,11.8,2.95,Macos,1909.02
MSI,Intel i7,8,512GBSSD,Integrated,13.3,1920x1080,7.8,3.34,Macos,982.19
Razer,AMD Ryzen 3,16,1TBSSD,Nvidia RTX 3080,17.3,3840x2160,11.6,3.11,Macos,2413.0
Microsoft,AMD Ryzen 9,4,2TBSSD,AMD Radeon RX 6800,17.3,1920x1080,8.3,1.48,Linux,1585.6
Razer,Intel i5,32,512GBSSD,Nvidia GTX 1650,14.0,1920x1080,10.0,3.4,Freedos,2191.16
HP,AMD Ryzen 9,16,2TBSSD,Nvidia RTX 3060,16.0,1366x768,7.2,2.17,Freedos,1778.84
Dell,Intel i7,64,256GBSSD,AMD Radeon RX 6600,17.3,1920x1080,6.4,2.48,Freedos,3311.34
Acer,AMD Ryzen 7,16,1TBSSD,AMD Radeon RX 6600,15.6,1920x1080,11.4,3.05,Linux,1734.32
Dell,AMD Ryzen 3,8,1TBHDD,Nvidia GTX 1650,13.3,2560x1440,7.0,1.7,Linux,878.5
Dell,Intel i5,8,1TBHDD,Integrated,13.3,2560x1440,11.9,2.53,Macos,830.62
Apple,Intel i9,64,256GBSSD,Integrated,17.3,1920x1080,6.9,2.55,Windows,4428.68
HP,AMD Ryzen 7,8,512GBSSD,Nvidia RTX 3060,14.0,2560x1440,4.4,1.6,Macos,1504.2
Asus,AMD Ryzen 9,64,512GBSSD,AMD Radeon RX 6600,13.3,1920x1080,6.2,2.58,Macos,3907.83
Microsoft,AMD Ryzen 9,8,1TBSSD,Integrated,13.3,1366x768,9.9,3.11,Windows,976.43
Microsoft,AMD Ryzen 5,64,512GBSSD,AMD Radeon RX 6600,16.0,2560x1440,9.3,2.31,Macos,3286.11
Dell,AMD Ryzen 3,4,1TBSSD,Nvidia GTX 1650,15.6,1366x768,5.4,1.95,Windows,831.69
